cur1_up,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007
cur2_up,0.0,0.001,0.002,0.0,0.001,0.002,0.0,0.001,0.002,0.0,0.001,0.002,0.0,0.001,0.002
long_trades,121,400,1258,43,113,304,23,40,107,17,23,48,12,16,29
long_wins,69,222,686,27,59,162,15,25,63,12,14,32,8,9,20
long_total_percent,0.11730543216931713,0.19763446206567953,0.4914984558764641,0.0882703394593086,0.07941001544227279,0.1888030301566155,0.05161153053641671,0.06533020249786028,0.1071765877317749,0.047412040962397706,0.04725329295994797,0.08272287523096637,0.046259784706543336,0.04414356718019108,0.08176165238459537
long_average_percent,0.0009694663815646043,0.0004940861551641988,0.00039069829560927196,0.002052798592076944,0.0007027434994891398,0.0006210625991993931,0.002243979588539857,0.001633255062446507,0.0010016503526334103,0.0027889435860233946,0.0020544909982586072,0.001723393233978466,0.0038549820588786115,0.0027589729487619424,0.002819367323606737

cur1_down,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.006,-0.006,-0.006,-0.007,-0.007,-0.007
cur2_down,0.0,-0.001,-0.002,0.0,-0.001,-0.002,0.0,-0.001,-0.002,0.0,-0.001,-0.002,0.0,-0.001,-0.002
short_trades,131,384,1051,46,111,249,17,43,80,13,25,40,9,15,23
short_wins,61,191,540,15,47,118,4,17,38,2,8,14,1,4,7
short_total_percent,-0.0832869887018733,-0.015948959175665352,0.22321812772693253,-0.06037190114841571,-0.051341262769919134,-0.006765387087269222,-0.05920976224626472,-0.06274291980233282,-0.05911737079928478,-0.060711828990726725,-0.05426459951503006,-0.054606576944248635,-0.04144248642008831,-0.03638458898873125,-0.03472489842762662
short_average_percent,-0.0006357785397089565,-4.153374785329519e-05,0.00021238642029203857,-0.001312432633661211,-0.0004625338988281003,-2.7170229266141454e-05,-0.0034829271909567485,-0.0014591376698216934,-0.0007389671349910598,-0.004670140691594363,-0.0021705839806012025,-0.001365164423606216,-0.0046047207133431455,-0.0024256392659154167,-0.001509778192505505
